iter	Passed	Remaining
399	31695	126781
400	31772	126694
401	31847	126596
402	31928	126527
403	32005	126436
404	32077	126328
405	32151	126229
406	32228	126142
407	32301	126039
408	32384	125974
409	32454	125860
410	32534	125782
411	32618	125723
412	32695	125636
413	32767	125528
414	32846	125448
415	32923	125362
416	33001	125277
417	33081	125202
418	33165	125142
419	33243	125058
420	33319	124966
421	33389	124852
422	33458	124738
423	33532	124639
424	33606	124540
425	33696	124503
426	33779	124439
427	33858	124359
428	33936	124274
429	34004	124157
430	34078	124060
431	34166	124011
432	34240	123912
433	34313	123814
434	34396	123747
435	34482	123692
436	34566	123631
437	34636	123522
438	34701	123393
439	34783	123322
440	34862	123243
441	34936	123147
442	35025	123104
443	35111	123047
444	35190	122969
445	35266	122880
446	35346	122805
447	35437	122765
448	35525	122716
449	35599	122621
450	35672	122521
451	35749	122434
452	35826	122348
453	35911	122289
454	36002	122250
455	36080	122168
456	36160	122090
457	36230	121980
458	36292	121844
459	36366	121747
460	36435	121636
461	36520	121578
462	36601	121504
463	36687	121448
464	36772	121389
465	36859	121335
466	36945	121279
467	37034	121233
468	37118	121170
469	37191	121069
470	37262	120963
471	37329	120847
472	37404	120753
473	37485	120679
474	37576	120640
475	37650	120543
476	37735	120486
477	37801	120363
478	37887	120306
479	37969	120235
480	38047	120154
481	38127	120077
482	38213	120020
483	38292	119941
484	38380	119889
485	38463	119823
486	38551	119771
487	38626	119678
488	38707	119606
489	38767	119468
490	38850	119400
491	38935	119340
492	39014	119260
493	39093	119179
494	39170	119094
495	39248	119012
496	39334	118952
497	39413	118874
498	39486	118776
499	39563	118691
500	39642	118611
501	39719	118526
502	39795	118436
503	39872	118352
504	39958	118294
505	40048	118245
506	40128	118170
507	40197	118061
508	40277	117983
509	40355	117900
510	40429	117806
511	40498	117698
512	40577	117620
513	40654	117534
514	40735	117461
515	40809	117366
516	40875	117250
517	40954	117171
518	41032	117088
519	41114	117018
520	41181	116904
521	41266	116843
522	41351	116779
523	41423	116680
524	41501	116600
525	41591	116550
526	41666	116460
527	41743	116376
528	41821	116292
529	41897	116206
530	41977	116130
531	42062	116066
532	42137	115977
533	42221	115912
534	42307	115851
535	42373	115737
536	42449	115649
537	42543	115610
538	42622	115531
539	42694	115433
540	42781	115375
541	42865	115309
542	42947	115239
543	43010	115116
544	43096	115056
545	43195	115031
546	43287	114986
547	43369	114912
548	43460	114864
549	43544	114797
550	43628	114732
551	43709	114656
552	43801	114613
553	43880	114532
554	43966	114470
555	44045	114392
556	44113	114283
557	44211	114253
558	44297	114190
559	44392	114152
560	44471	114072
561	44553	114001
562	44655	113978
563	44742	113918
564	44813	113817
565	44887	113724
566	44965	113643
567	45053	113584
568	45143	113533
569	45240	113498
570	45302	113375
571	45381	113294
572	45463	113221
573	45547	113154
574	45630	113084
575	45720	113031
576	45804	112963
577	45893	112906
578	45973	112828
579	46060	112768
580	46147	112707
581	46220	112612
582	46304	112543
583	46379	112453
584	46455	112366
585	46541	112303
586	46610	112198
587	46686	112109
588	46770	112042
589	46851	111967
590	46939	111908
591	47027	111848
592	47113	111785
593	47197	111717
594	47280	111645
595	47363	111573
596	47459	111534
597	47542	111462
598	47628	111399
599	47744	111403
600	47837	111355
601	47928	111302
602	48024	111260
603	48106	111186
604	48192	111120
605	48266	111028
606	48339	110934
607	48418	110853
608	48494	110763
609	48582	110705
610	48663	110626
611	48726	110510
612	48800	110418
613	48893	110369
614	48978	110302
615	49063	110234
616	49156	110183
617	49243	110120
618	49323	110041
619	49400	109954
620	49497	109915
621	49575	109832
622	49666	109775
623	49740	109684
624	49823	109611
625	49907	109541
626	49978	109443
627	50027	109296
628	50108	109218
629	50193	109150
630	50272	109069
631	50347	108980
632	50428	108902
633	50491	108787
634	50561	108687
635	50637	108599
636	50720	108527
637	50797	108441
638	50875	108358
639	50954	108278
640	51032	108194
641	51111	108114
642	51188	108028
643	51267	107949
644	51355	107886
645	51442	107822
646	51520	107740
647	51592	107642
648	51669	107559
649	51747	107475
650	51821	107384
651	51892	107287
652	51973	107210
653	52056	107137
654	52134	107055
655	52210	106968
656	52282	106873
657	52367	106803
658	52443	106718
659	52524	106641
660	52607	106567
661	52687	106489
662	52774	106425
663	52840	106317
664	52915	106229
665	52995	106150
666	53068	106056
667	53142	105966
668	53217	105878
669	53300	105805
670	53377	105720
671	53456	105640
672	53548	105585
673	53629	105508
674	53702	105416
675	53777	105328
676	53856	105247
677	53937	105170
678	54009	105076
679	54085	104989
680	54156	104893
681	54245	104832
682	54328	104759
683	54409	104682
684	54488	104602
685	54568	104523
686	54646	104440
687	54723	104355
688	54794	104260
689	54883	104199
690	54954	104104
691	55035	104027
692	55110	103938
693	55188	103857
694	55254	103750
695	55330	103664
696	55408	103583
697	55489	103506
698	55568	103425
699	55638	103327
